"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.649199470E-1,5.503231883E-1,-1.683162898E-2,-1.806125641E-1,5.794478524E-1
6.698959370E-1,4.946449399E-1,-2.057772502E-2,-4.118442535E-2,4.967828663E-1
6.748719260E-1,3.650509715E-1,-6.161391735E-3,-2.647590637E-2,3.660616726E-1
6.798479160E-1,2.519155741E-1,7.429823279E-3,-4.045104980E-2,2.552507515E-1
6.848239050E-1,1.643410921E-1,2.056320757E-2,5.485248566E-2,1.744695826E-1
6.897998950E-1,8.791935444E-2,1.438104175E-2,1.588029861E-1,1.820851879E-1
6.947758850E-1,-2.053999901E-2,1.292231120E-2,1.811275482E-1,1.827459067E-1
6.997518740E-1,-1.280448139E-1,-3.117975593E-2,6.555747986E-2,1.471918296E-1
7.047278640E-1,-1.829360127E-1,-6.513006985E-2,-1.534843445E-1,2.475175847E-1
7.097038530E-1,-1.861150861E-1,-1.124918833E-1,-2.234363556E-1,3.117964947E-1
7.146798430E-1,-1.049790084E-1,-1.447624564E-1,-1.882667542E-1,2.596557947E-1
7.196558320E-1,2.941966057E-3,-1.621770412E-1,-1.058425903E-1,1.936819604E-1
7.246318220E-1,1.283906102E-1,-1.699170470E-1,-5.256080627E-2,2.193594995E-1
7.296078120E-1,2.147020698E-1,-1.539661735E-1,-2.345848083E-2,2.652411387E-1
7.345838010E-1,2.862538695E-1,-1.336673796E-1,-3.259849548E-2,3.176018075E-1
7.395597910E-1,3.195293546E-1,-1.328510046E-1,-7.492160797E-2,3.540644647E-1
7.445357800E-1,3.622817397E-1,-1.511940658E-1,-4.567909241E-2,3.952142254E-1
7.495117700E-1,3.530097008E-1,-1.270122826E-1,5.925941467E-2,3.798152801E-1
7.544877600E-1,3.160435557E-1,-8.936307579E-2,8.730125427E-2,3.398393700E-1
7.594637490E-1,1.899351478E-1,-4.305574670E-2,9.131526947E-2,2.150991309E-1
7.644397390E-1,-9.966313839E-3,-1.654683053E-2,1.759490967E-1,1.770062418E-1
7.694157280E-1,-2.355079651E-1,4.697127268E-3,2.550544739E-1,3.471870523E-1
7.743917180E-1,-3.067531288E-1,5.416245759E-2,2.385015488E-1,3.923188022E-1
7.793677070E-1,-3.585634530E-1,6.998007745E-2,2.410936356E-1,4.377112086E-1
7.843436970E-1,-3.722102940E-1,6.697531044E-2,1.914491653E-1,4.238855719E-1
7.893196870E-1,-3.388755918E-1,5.975361913E-2,1.137685776E-1,3.624230276E-1
7.942956760E-1,-2.830542028E-1,4.370788485E-2,5.104160309E-2,2.909214777E-1
7.992716660E-1,-2.002885938E-1,2.354449779E-2,-1.109600067E-2,2.019727343E-1
8.042476550E-1,-1.096431315E-1,-9.632613510E-4,-1.432418823E-3,1.096567188E-1
