"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.957665780E-1,-6.065940857E-2,5.738855898E-2,-4.391384125E-2,9.434742182E-2
9.007422550E-1,-7.581555843E-2,3.745768964E-2,-2.912330627E-2,8.943849497E-2
9.057179320E-1,-6.225061417E-2,2.253763378E-2,-2.396774292E-2,7.040977632E-2
9.106936090E-1,-6.283926964E-2,1.254157722E-2,3.810119629E-2,7.455042674E-2
9.156692860E-1,-7.281887531E-2,7.332131267E-3,8.064842224E-2,1.089059997E-1
9.206449640E-1,-7.347679138E-2,1.162402332E-2,-1.483345032E-2,7.585504623E-2
9.256206410E-1,-9.353518486E-2,-2.896964550E-3,-2.234401703E-1,2.422451917E-1
9.305963180E-1,-7.089698315E-2,2.528131008E-3,-5.015325546E-1,5.065251001E-1
9.355719950E-1,-4.809224606E-2,9.307280183E-3,-4.924726486E-1,4.949028180E-1
9.405476720E-1,-1.506078243E-2,4.539546371E-2,-1.227321625E-1,1.317222798E-1
9.455233490E-1,3.760981560E-2,9.522356093E-2,2.675647736E-1,2.864837392E-1
9.504990260E-1,4.726076126E-2,1.434997171E-1,5.074148178E-1,5.294294530E-1
9.554747030E-1,5.152142048E-2,1.994324476E-1,5.839185715E-1,6.191838629E-1
9.604503800E-1,4.078567028E-2,2.061793357E-1,5.079479218E-1,5.497130893E-1
9.654260570E-1,4.382145405E-2,1.930560470E-1,3.424758911E-1,3.955764061E-1
9.704017340E-1,5.607259274E-2,1.603302807E-1,1.309490204E-1,2.144704653E-1
9.753774110E-1,7.271277905E-2,1.274731755E-1,-1.974859238E-1,2.460431848E-1
9.803530890E-1,6.511509418E-2,9.498664737E-2,-4.044294357E-1,4.205063699E-1
9.853287660E-1,8.571314812E-2,6.328999996E-2,-4.101800919E-1,4.237924912E-1
9.903044430E-1,7.305335999E-2,6.556451321E-2,-2.544612885E-1,2.727380540E-1
9.952801200E-1,8.031249046E-2,8.252650499E-2,-5.741596222E-2,1.286752224E-1
1.000255797E0,5.549848080E-2,1.138035059E-1,3.336715698E-2,1.309377199E-1
1.005231474E0,7.970380783E-2,1.212944388E-1,1.876068115E-2,1.463454852E-1
1.010207151E0,5.244231224E-2,1.385967433E-1,-2.434253693E-2,1.501726090E-1
1.015182828E0,1.177227497E-2,1.326449513E-1,-8.617115021E-2,1.586150582E-1
1.020158505E0,-2.371084690E-2,1.273691952E-1,-1.380167007E-1,1.892979816E-1
1.025134182E0,-5.425381660E-2,1.085631549E-1,-1.894350052E-1,2.249779021E-1
1.030109859E0,-8.985543251E-2,9.053364396E-2,-2.071342468E-1,2.432589888E-1
1.035085536E0,-8.773648739E-2,7.317167521E-2,-1.486549377E-1,1.874835347E-1
1.040061214E0,-9.089529514E-2,5.620989203E-2,-4.312324524E-2,1.152437457E-1
1.045036891E0,-1.086809635E-1,4.877790809E-2,7.107830048E-2,1.387189999E-1
1.050012568E0,-1.076298952E-1,6.493976712E-2,1.368856430E-1,1.858468374E-1
1.054988245E0,-1.116939783E-1,5.222046375E-2,1.594581604E-1,2.015674243E-1
1.059963922E0,-1.301245689E-1,2.511221170E-2,1.866159439E-1,2.288854236E-1
1.064939599E0,-1.246093512E-1,2.172291279E-2,1.803083420E-1,2.202509331E-1
1.069915276E0,-1.333868504E-1,-8.305311203E-4,1.693105698E-1,2.155430599E-1
1.074890953E0,-1.090053320E-1,-1.400597394E-2,1.346883774E-1,1.738369601E-1
1.079866630E0,-8.967912197E-2,-2.721896768E-2,1.098680496E-1,1.444098523E-1
1.084842307E0,-9.441280365E-2,-1.677188277E-2,8.527851105E-2,1.283257495E-1
1.089817984E0,-4.697585106E-2,-1.601120830E-2,5.615997314E-2,7.494686089E-2
1.094793661E0,-9.431362152E-3,-1.541042328E-2,2.728843689E-2,3.272751939E-2
1.099769339E0,1.835453510E-2,-5.419999361E-3,3.402709961E-3,1.943820432E-2
1.104745016E0,4.601252079E-2,-9.764403105E-3,1.294326782E-2,4.878548779E-2
1.109720693E0,6.414675713E-2,-9.471565485E-3,8.137702942E-3,6.535089297E-2
1.114696370E0,6.814277172E-2,-1.399305463E-2,1.284122467E-2,7.073994605E-2
1.119672047E0,7.236158848E-2,-9.133413434E-3,2.697467804E-2,7.776407900E-2
1.124647724E0,8.144736290E-2,-9.062767029E-3,-6.512641907E-3,8.220840087E-2
1.129623401E0,9.050858021E-2,-1.848968863E-2,-2.073287964E-2,9.467588909E-2
1.134599078E0,8.055162430E-2,-2.314072847E-2,-3.483963013E-2,9.076264275E-2
1.139574755E0,9.916853905E-2,-3.250150383E-2,-4.882907867E-2,1.152172982E-1
1.144550432E0,6.544935703E-2,-4.173918068E-2,-4.371547699E-2,8.908883470E-2
1.149526109E0,7.479870319E-2,-4.140286148E-2,-1.490783691E-2,8.678298531E-2
1.154501786E0,6.037783623E-2,-3.151503205E-2,4.155158997E-3,6.823449054E-2
1.159477464E0,2.233457565E-2,-4.065236449E-2,1.356124878E-2,4.832551580E-2
1.164453141E0,1.320302486E-2,-3.542302549E-2,-1.036453247E-2,3.919864964E-2
1.169428818E0,-6.520748138E-4,-4.918007553E-2,3.903388977E-3,4.933904616E-2
1.174404495E0,-9.644508362E-3,-3.437657654E-2,8.556365967E-3,3.671480566E-2
1.179380172E0,-4.212856293E-3,-4.344508052E-2,-1.087188721E-3,4.366239983E-2
1.184355849E0,-1.782166958E-2,-3.798161447E-2,-5.907058716E-3,4.236871826E-2
1.189331526E0,-2.651739120E-2,-4.200951755E-2,8.299827576E-3,5.036723875E-2
1.194307203E0,-1.150047779E-2,-6.019817293E-2,8.153915405E-3,6.182691444E-2
1.199282880E0,-1.580619812E-2,-5.929857492E-2,3.286361694E-3,6.145695290E-2
1.204258557E0,-1.578950882E-2,-6.330247223E-2,-2.047634125E-2,6.837976404E-2
1.209234234E0,-2.086997032E-3,-3.430782259E-2,-1.246910095E-1,1.293415251E-1
1.214209911E0,-1.719176769E-2,-4.825231433E-2,-1.615362167E-1,1.694632468E-1
1.219185589E0,-3.217053413E-2,-1.045099795E-1,-1.458482742E-1,1.822882283E-1
1.224161266E0,-4.227709770E-2,-1.170444489E-1,-6.382465363E-2,1.398582940E-1
1.229136943E0,-2.370607853E-2,-1.102757975E-1,2.224731445E-2,1.149681377E-1
1.234112620E0,2.820563316E-2,-8.482541144E-2,1.218242645E-1,1.511028113E-1
1.239088297E0,5.140101910E-2,-5.066528916E-2,1.730747223E-1,1.875203877E-1
1.244063974E0,3.651845455E-2,-3.155332804E-2,1.336765289E-1,1.421218647E-1
1.249039651E0,4.075527191E-2,-1.750887930E-2,6.611919403E-2,7.961972659E-2
1.254015328E0,4.500663280E-2,-3.686605394E-2,8.617401123E-3,5.881294527E-2
1.258991005E0,4.467880726E-2,-2.736611664E-2,-1.044654846E-2,5.342499914E-2
1.263966682E0,1.596760750E-2,-4.629504681E-2,-5.785846710E-2,7.580104263E-2
1.268942359E0,-1.250541210E-2,-6.015799940E-2,-1.048793793E-1,1.215526817E-1
1.273918036E0,-3.139913082E-2,-6.915077567E-2,-1.135025024E-1,1.365670284E-1
1.278893714E0,-5.498623848E-2,-5.912582576E-2,-7.930278778E-2,1.131736800E-1
1.283869391E0,-5.933165550E-2,-4.918439686E-2,-2.165222168E-2,8.005103961E-2
1.288845068E0,-5.878996849E-2,-2.982881665E-2,2.600860596E-2,7.086936067E-2
1.293820745E0,-6.279885769E-2,-5.924955010E-3,5.900382996E-2,8.637275941E-2
1.298796422E0,-7.611787319E-2,-1.367866993E-3,7.746315002E-2,1.086109630E-1
1.303772099E0,-8.922338486E-2,1.734553277E-2,9.100914001E-2,1.286248167E-1
1.308747776E0,-7.863330841E-2,1.681879163E-2,7.597255707E-2,1.106250350E-1
1.313723453E0,-6.823384762E-2,2.099367976E-2,6.582355499E-2,9.710475242E-2
1.318699130E0,-8.176708221E-2,1.564283669E-2,5.102252960E-2,9.764144919E-2
1.323674807E0,-9.529125690E-2,1.503995061E-2,4.585552216E-2,1.068145714E-1
1.328650484E0,-9.445714951E-2,9.693533182E-3,5.972576141E-2,1.121752390E-1
1.333626161E0,-6.524145603E-2,2.333442867E-2,4.500198364E-2,8.262034664E-2
1.338601839E0,-5.056583881E-2,1.786760986E-2,2.565956116E-2,5.945223811E-2
1.343577516E0,-3.606271744E-2,1.238901913E-2,1.736640930E-3,3.817097465E-2
1.348553193E0,-2.178275585E-2,1.650430262E-2,6.515502930E-3,2.809505714E-2
1.353528870E0,1.928806305E-3,4.906411469E-2,-3.623676300E-2,6.102549170E-2
1.358504547E0,1.140463352E-2,2.456326783E-2,-8.341026306E-2,8.769658931E-2
1.363480224E0,-1.212954521E-2,-9.031638503E-3,-1.064901352E-1,1.075585666E-1
1.368455901E0,-3.516161442E-2,-8.742600679E-3,-7.718944550E-2,8.527005741E-2
1.373431578E0,3.727316856E-3,-3.683851659E-2,-3.863906860E-2,5.351585577E-2
1.378407255E0,-7.015466690E-4,-1.246072352E-2,-5.126953125E-3,1.349249594E-2
1.383382932E0,4.201292992E-3,-7.445842028E-3,4.390716553E-3,9.610921816E-3
1.388358609E0,2.320635319E-2,-7.272437215E-3,4.345893860E-3,2.470445233E-2
1.393334286E0,1.356208324E-2,1.189354062E-2,4.301071167E-3,1.854415335E-2
